# Logfile created on Sun Jul 15 16:44:47 -0700 2012 by logger.rb/22285
E, [2012-07-23 00:48:35#4234] ERROR -- : Form page: {"longitude"=>"-73.976655", "latitude"=>"40.787073"}
E, [2012-07-23 00:48:35#4234] ERROR -- : Form page: {"longitude"=>"-73.977685", "latitude"=>"40.788762"}
E, [2012-07-23 00:48:39#4234] ERROR -- : Form page: {"longitude"=>"-73.977084", "latitude"=>"40.788275"}
E, [2012-07-23 00:48:48#4237] ERROR -- : Form page: {"longitude"=>"-73.978629", "latitude"=>"40.785253"}
E, [2012-07-23 00:49:14#4244] ERROR -- : Form page: {"longitude"=>"-73.971848", "latitude"=>"40.786098"}
E, [2012-07-23 00:49:16#4244] ERROR -- : Form page: {"longitude"=>"-73.972492", "latitude"=>"40.789802"}
E, [2012-07-23 00:49:25#4249] ERROR -- : Form page: {"longitude"=>"-73.975239", "latitude"=>"40.789737"}
E, [2012-07-23 00:49:26#4249] ERROR -- : Form page: {"longitude"=>"-73.976011", "latitude"=>"40.789770"}
E, [2012-07-23 00:49:27#4249] ERROR -- : Form page: {"longitude"=>"-73.974509", "latitude"=>"40.790225"}
E, [2012-07-23 00:49:28#4249] ERROR -- : Form page: {"longitude"=>"-73.973286", "latitude"=>"40.789347"}
E, [2012-07-23 00:49:30#4249] ERROR -- : Form page: {"longitude"=>"-73.973844", "latitude"=>"40.789087"}
E, [2012-07-23 00:49:54#4254] ERROR -- : Form page: {"longitude"=>"-73.976870", "latitude"=>"40.792531"}
E, [2012-07-23 00:49:56#4254] ERROR -- : Form page: {"longitude"=>"-73.971119", "latitude"=>"40.791167"}
E, [2012-07-23 00:49:57#4254] ERROR -- : Form page: {"longitude"=>"-73.974380", "latitude"=>"40.792499"}
E, [2012-07-23 00:49:58#4254] ERROR -- : Form page: {"longitude"=>"-73.977642", "latitude"=>"40.791362"}
E, [2012-07-23 00:50:06#4260] ERROR -- : Form page: {"longitude"=>"-73.977814", "latitude"=>"40.787983"}
